Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied
GNB,Guinea-Bissau,2024,0,25.44,25.257652629422935,-0.18234737057706596,-0.7167742554101776,1
GNQ,Equatorial Guinea,2024,0,272.65,270.762732301119,-1.8872676988809758,-0.6921942779681951,1
GRC,Greece,2024,1,3.78,3.7470340230197277,-0.03296597698027215,-0.872115793105821,0
GRD,Grenada,2024,0,0.0,0.0,0.0,0.0,1
GTM,Guatemala,2024,0,0.0,0.0,0.0,0.0,1
GUY,Guyana,2024,1,0.0,0.0,0.0,0.0,0
HND,Honduras,2024,0,0.0,0.0,0.0,0.0,1
HRV,Croatia,2024,1,8.52,8.45434391195561,-0.06565608804439016,-0.770611362014314,0
HTI,Haiti,2024,0,0.0,0.0,0.0,0.0,1
HUN,Hungary,2024,1,1.86,1.8402755869950673,-0.019724413004932773,-1.0604523120361462,0
IDN,Indonesia,2024,0,25.37,25.1881353947762,-0.18186460522380088,-0.7168490548801105,1
IND,India,2024,0,14.31,14.204412320592473,-0.10558767940752745,-0.7378593948762375,1
IRL,Ireland,2024,1,40.34,40.05489257565598,-0.2851074243440266,-0.7067610915798705,0
IRN,Iran (Islamic Republic of),2024,0,4.77,4.730206341594943,-0.03979365840505622,-0.8342486038620959,1
IRQ,Iraq,2024,0,703.71,698.8498632556975,-4.860136744302508,-0.6906448315786072,1
ISL,Iceland,2024,1,5.08,5.038068380744758,-0.04193161925524169,-0.825425575874336,0
ISR,Israel,2024,1,3.3,3.2703444140135627,-0.02965558598643714,-0.8986541207738935,0
ITA,Italy,2024,1,17.78,17.650480952366213,-0.12951904763378863,-0.7284535862376839,0
JAM,Jamaica,2024,0,0.0,0.0,0.0,0.0,1
JOR,Jordan,2024,0,1.38,1.3635859779889024,-0.01641402201109754,-1.1894218847759506,1
JPN,Japan,2024,1,0.34,0.3307584918088778,-0.009241508191122239,-2.7180906436482783,0
KAZ,Kazakhstan,2024,0,1366.85,1357.4164201647573,-9.433579835242654,-0.6901693554700197,1
KEN,Kenya,2024,0,24.47,24.294342377889635,-0.1756576221103643,-0.7178488847962667,1
KGZ,Kyrgyzstan,2024,0,2005.01,1991.1752553384529,-13.83474466154712,-0.6900087611306891,1
KHM,Cambodia,2024,0,37.76,37.492685927247834,-0.2673140727521641,-0.7079292180917802,1
KIR,Kiribati,2024,0,0.0,0.0,0.0,0.0,1
KNA,Saint Kitts and Nevis,2024,1,0.0,0.0,0.0,0.0,0
KOR,Republic of Korea,2024,1,0.95,0.9365515365875461,-0.01344846341245387,-1.4156277274777098,0
KWT,Kuwait,2024,1,1.42,1.4033101120727496,-0.016689887927250346,-1.175344220146127,0
LAO,Lao People's Democratic Republic,2024,0,0.13,0.12220678786868051,-0.007793212131319491,-5.9947785579420865,1
LBN,Lebanon,2024,0,12.75,12.65517109132244,-0.09482890867755955,-0.7437561464848298,1
LBR,Liberia,2024,0,399.98,397.2145821235254,-2.7654178764746007,-0.6913890385704058,1
LBY,Libya,2024,0,25.06,24.880273355626386,-0.17972664437361274,-0.7171853326931188,1
LCA,Saint Lucia,2024,0,0.0,0.0,0.0,0.0,1
LKA,Sri Lanka,2024,0,13.33,13.231171035538225,-0.09882896446177547,-0.7414025841037815,1
LSO,Lesotho,2024,0,0.43,0.42013779349753366,-0.00986220650246633,-2.293536395389022,1
LTU,Lithuania,2024,1,9.44,9.367998995884092,-0.07200100411590782,-0.7627225012197574,0
LUX,Luxembourg,2024,1,4.46,4.422344302445127,-0.037655697554872525,-0.8442981514356105,0
LVA,Latvia,2024,1,0.0,0.0,0.0,0.0,0
MAR,Morocco,2024,0,10.74,10.659033353609122,-0.0809666463908787,-0.7538793891073073,1
MCO,Monaco,2024,1,51.77,51.406063890115284,-0.3639361098847189,-0.702986497747761,0
MDA,Republic of Moldova,2024,0,72.82,72.31088945173981,-0.5091105482601819,-0.6991356059591909,1
MDG,Madagascar,2024,0,3.38,3.3497926821812567,-0.030207317818743196,-0.8937076277470263,1
MDV,Maldives,2024,0,5.68,5.633930392002464,-0.04606960799753601,-0.8110846478296643,1
MEX,Mexico,2024,0,0.05,0.042758519700986306,-0.007241480299013697,-14.482960569061472,1
MHL,Marshall Islands,2024,0,0.0,0.0,0.0,0.0,1
MKD,North Macedonia,2024,0,1.1,1.0855170394019726,-0.01448296059802745,-1.3166327815191652,1
MLI,Mali,2024,0,15.12,15.008826035790376,-0.11117396420962322,-0.7352775410640737,1
MLT,Malta,2024,1,16.68,16.558067265060416,-0.12193273493958401,-0.7310116003528359,0
MMR,Myanmar,2024,0,0.55,0.5393101957490751,-0.010689804250924917,-1.9436007725420572,1
MNE,Montenegro,2024,0,54.82,54.435029114008636,-0.38497088599136475,-0.7022453228578301,1
MNG,Mongolia,2024,0,3.45,3.4193099168279892,-0.03069008317201094,-0.8895676281484455,1
MOZ,Mozambique,2024,0,20.39,20.242480701337232,-0.14751929866276825,-0.7234884681807002,1
MRT,Mauritania,2024,0,69.64,69.15282079207402,-0.48717920792597624,-0.6995680757111956,1
MWI,Malawi,2024,0,8.31,8.245792208015413,-0.06420779198458781,-0.7726569432468731,1
MYS,Malaysia,2024,0,106.62,105.87778275259069,-0.7422172474093145,-0.6961332277327127,1
NAM,Namibia,2024,0,24.42,24.244687210284834,-0.17531278971516784,-0.7179065917872642,1
